id,author,timestamp,text,views,likes,retweets,reply_count,original_tweet_id
1927722797909836090,bigfatsurprise,Wed May 28 13:45:05 +0000 2025,"Processed meats do not cause colorectal cancer. The WHO report on this was effectively rigged and did not represent the science. @foundmyfitness  I worry that ""ultra-processed foods"" will be used to try to eliminate deli meats, which maybe not ideal are still  the most affordable https://t.co/DYnPi83NDg",330528,1276,237,108,
1962224063361020390,bigfatsurprise,Sun Aug 31 18:40:47 +0000 2025,"For all those who fear the 'end of science' with the recent upheavals at the CDC, remember that ""CDC"" stands for ""Center for Disease Control and Prevention""  Yet, since its founding in 1946, chronic diseases have all skyrocketed. Uncontrolled, not prevented. In fact, just the https://t.co/KJaP0DuCLu",277875,8251,2695,465,
1921934899281281115,bigfatsurprise,Mon May 12 14:26:02 +0000 2025,"TED just put a warning on Dr. Sarah Hallberg's viral TEDx talk on reversing type 2 diabetes (nearly 12M views!)😒😒 The establishment seems terrified of people learning that type 2 diabetes IS reversible with a ketogenic diet alone, often in a matter of just weeks. https://t.co/wZp0FXbWRd",187997,2689,690,220,
1978177514854842462,bigfatsurprise,Tue Oct 14 19:14:06 +0000 2025,"Fruit in its current-day form, bred to be large and super-sweet, is no longer as healthy as it once was.   In this study, 2c fruit a day led to insulin resistance (root cause of obesity, diabetes, fatty liver, etc).  Go easy on 🍎🍉🍊",158095,461,98,82,
1973534268447154600,bigfatsurprise,Wed Oct 01 23:43:30 +0000 2025,"Tufts University food healthfulness system ranked Lucky Charms cereal as healthier than ground beef.   Sadly, this is how nutrition experts have lost the public trust.  I talk about how the Left has lost its way on whole foods in my new op-ed in @WSJ:  https://t.co/nB6hhpvVgi https://t.co/077KGczg0w",135064,948,229,83,
1945937731324178775,bigfatsurprise,Thu Jul 17 20:04:43 +0000 2025,"“We are going to ensure the new guidelines are based on science, not medical dogma.”  For decades, saturated fat was vilified based on flawed science and institutional groupthink. Now, the FDA Commissioner @DrMakaryFDA is citing the very research I spent years unearthing.  For https://t.co/Qw1vWf9Hsp",121540,3451,908,123,
1945284503330586672,bigfatsurprise,Wed Jul 16 00:49:01 +0000 2025,"The new Dietary Guidelines will drop the caps on saturated fat!!  That's what FDA Commissioner @DrMakaryFDA implied yesterday 👏👏👏👏 (My head is spinning--he's citing research directly from my book!)  https://t.co/V3h8ByJ1Vy  ""Since Ancel Keys in the 1960s decided to demonize https://t.co/C54RshTJKx",88052,1610,304,130,
1922780121703801315,bigfatsurprise,Wed May 14 22:24:39 +0000 2025,What if “high cholesterol” in women isn’t a red flag… but a sign of better health?  Early studies showed women over 50 with higher cholesterol (up to 280 mg/dL) actually lived longer.  But that data was ignored.  Why? Because it didn’t fit the simplified “cholesterol = bad” https://t.co/SAA6FXEauE,86340,1295,335,34,
1961125436928528695,bigfatsurprise,Thu Aug 28 17:55:14 +0000 2025,"Hey people, did you know that the EAT Lancet 2.0 diet will be coming out in early October?   Stay tuned for the multi-million dollar campaign on how we should all eat a diet of 1.5oz of meat a day.  They're preparing, already, with a story on how all our genuine grassroots https://t.co/c8CF743nZj",85496,587,138,68,
1938765277086482446,bigfatsurprise,Sat Jun 28 01:03:57 +0000 2025,"""Healthy Eats"" at the airport. Still ultra-processed junk with tons of ingredients, high in carbs. I understand that people want to eat junk food on occasion, but this ""healthy"" advertising is deceptive. https://t.co/V68mVmkHVz",84433,662,69,71,
